City,State,Lon,Lat,Pop1950,Pop1960,Pop1970,Pop1980,Pop1990,Pop2000,Pop2010,Pop2016
Apache Junction,AZ,-111.54612,33.42314,0,0,3863,9935,18382,31771,35840,39984
Avondale,AZ,-112.34966,33.4405,2505,6151,6626,8168,17489,36075,76238,82881
Buckeye,AZ,-112.5901,33.37049,1932,2286,2599,3434,5055,8121,50876,69947
Cave Creek,AZ,-111.9551,33.82808,0,0,0,1712,2419,3915,5015,5476
Chandler,AZ,-111.84083,33.30338,3799,9531,13763,29673,90703,176240,236123,247477
El Mirage,AZ,-112.32258,33.61528,0,1723,3258,4307,5016,7637,31797,35043
Fountain Hills,AZ,-111.72124,33.60502,0,0,0,2771,10030,20237,22489,24482
Gilbert,AZ,-111.78997,33.3298,1114,1833,1971,5717,30003,114567,208453,237133
Glendale,AZ,-112.18627,33.53861,8179,15893,36228,91172,150867,219721,226721,245895
Goodyear,AZ,-112.35831,33.4363,1254,1654,2140,2747,6215,18666,65275,77258
Guadalupe,AZ,-111.96313,33.36488,0,0,4039,4506,5509,5230,5523,6336
Litchfield Park,AZ,-112.36088,33.49345,0,0,1664,3657,3298,3812,5476,5766
Mesa,AZ,-111.83146,33.41704,16790,33772,63049,152404,290212,397503,439041,484587
Paradise Valley,AZ,-111.94033,33.53114,0,0,6637,11085,12038,13556,12820,14355
Peoria,AZ,-112.2409,33.57731,2033,2593,4792,12171,51154,109123,154065,164173
Phoenix,AZ,-112.072754,33.44277,106818,439170,581562,789704,988983,1323107,1445632,1626078
Queen Creek,AZ,-111.63452,33.24467,0,0,0,1378,2639,3713,26361,35524
Scottsdale,AZ,-111.92069,33.494,2032,10026,67823,88622,130086,202715,217385,246645
Surprise,AZ,-112.36676,33.62372,0,0,2427,3723,7182,31038,117517,132677
Tempe,AZ,-111.93724,33.42551,7684,24897,63550,106919,142056,158555,161719,182498
Tolleson,AZ,-112.26384,33.45031,3042,3886,3881,4433,4483,4981,6545,7178
Youngtown,AZ,-112.3009,33.59404,0,0,1886,2254,2540,3012,6156,6759
